Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb,,,,
--------------------------------------------------------------------------,,,,
,,,,
,,,,
Ref Name,Qty,Component,Value,MPN
J4,1,4WP,,
LED4,1,1206-LED,ORG,KP-3216CGCK
LED1,1,1206-LED,RED,KP-3216SURCK
LED2,1,1206-LED,YELLOW,KP-3216SYCK
LED3,1,1206-LED,YELLOW,KP-3216SYCK
J2,1,5103309-1,,
Q1,1,ABM3-8,,ABM3-8.000MHZ-D2Y-T
C1,1,CAPACITOR-1206,1u,MCCA000429
C2,1,CAPACITOR-1206,4u7,MCCA000569
C4,1,CAPACITOR-1206,18p,C1206C180J5GACTU
C7,1,CAPACITOR-1206,18p,C1206C180J5GACTU
C9,1,CAPACITOR-1206,100n,C1206C104K5RACTU
C8,1,CAPACITOR-1206,100n,C1206C104K5RACTU
C3,1,CAPACITOR-1206,100n,C1206C104K5RACTU
C5,1,CAPACITOR-1206,100n,C1206C104K5RACTU
C10,1,CAPACITOR-1206,100n,C1206C104K5RACTU
C12,1,CAPACITOR-1206,100n,C1206C104K5RACTU
C11,1,CAPACITOR-1206,100n,C1206C104K5RACTU
C6,1,CAPACITOR-1206,100n,C1206C104K5RACTU
J1,1,CONN_3-1,CONN_3-1,
U3,1,IRLML5103TRPBF,,SI2307CDS-T1-GE3
U1,1,LP5951MF-3.3,,LP5951MF-3.3
J3,1,MINIJTAG,,FTS-105-01-L-DV
R6,1,RESISTOR-1206,1K5,MCMR12X152 JTL
R1,1,RESISTOR-1206,4k7,MCMR12X472 JTL
R13,1,RESISTOR-1206,4k7,MCMR12X472 JTL
R4,1,RESISTOR-1206,10k,MCMR12X1002FTL
R3,1,RESISTOR-1206,10k,MCMR12X1002FTL
R2,1,RESISTOR-1206,10k,MCMR12X1002FTL
R12,1,RESISTOR-1206,10k,MCMR12X1002FTL
R5,1,RESISTOR-1206,22R,CRCW120622R0FKEA
R7,1,RESISTOR-1206,22R,CRCW120622R0FKEA
R14,1,RESISTOR-1206,120R,RC1206FR-07120RL
R8,1,RESISTOR-1206,390R,CRCW1206390RFKEA
R11,1,RESISTOR-1206,390R,CRCW1206390RFKEA
R9,1,RESISTOR-1206,390R,CRCW1206390RFKEA
R10,1,RESISTOR-1206,390R,CRCW1206390RFKEA
SW1,1,SMT2PSWITCH,,DTSM-32S-B
SW2,1,SMT2PSWITCH,,DTSM-32S-B
U4,1,SN65HV232,,SN65HVD232QD
JP1,1,SQ_JMP-0402,0/DNP,
U2,1,STM32-C-64,STM32-C-64,STM32F105RCT6
U5,1,TXS0108EPWRG4,,TXS0108EPWR
USB,1,ZX62-B-5PA,ZX62-B-5PA,10104110-0001LF
